Event name,Event type,Event region,Student token,Student state,Attendance State,Attended,Current situation,Institution,Qualification,Year of study,Final year?,Region interests,Created at
ICT Careers Intro for 1st years (ALL WELCOME THO!),Career Bootcamp,Wellington,91d60613136182e6c9a3272a16f197cc,available,registered,FALSE,studying,Wellington ICT Graduate School (WICTGS),Master of Information Technology,1,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-03 11:59:25 +1300
ICT Careers Intro for 1st years (ALL WELCOME THO!),Career Bootcamp,Wellington,6113ef776b03d491f930b8e726307c3a,available,registered,FALSE,graduated,Wellington Institute of Technology (Weltec),Post Graduate Diploma in Information Technology,1,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, Masterton, New Plymouth, PalmerstonNorth, Tauranga, Wanaka, Wellington",2017-03-03 12:13:52 +1300
CV (part 1),Career Bootcamp,Wellington,91d60613136182e6c9a3272a16f197cc,available,registered,FALSE,studying,Wellington ICT Graduate School (WICTGS),Master of Information Technology,1,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-05 18:41:59 +1300
CV (Part 2),Career Bootcamp,Wellington,91d60613136182e6c9a3272a16f197cc,available,registered,FALSE,studying,Wellington ICT Graduate School (WICTGS),Master of Information Technology,1,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-05 18:42:09 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,4935c6af3cc01feb0cf24cce64691ce4,hidden,late_withdrawal,FALSE,graduated,Computer Power Plus,Diploma in Software Development/iOS techdegree ,1,TRUE,,2017-03-06 08:52:02 +1300
CV (Part 2),Career Bootcamp,Wellington,4935c6af3cc01feb0cf24cce64691ce4,hidden,registered,TRUE,graduated,Computer Power Plus,Diploma in Software Development/iOS techdegree ,1,TRUE,,2017-03-06 08:52:48 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,a57f1c0a54caf09d1682d99143d5a127,available,registered,TRUE,graduated,Victoria University of Wellington,BSc(Hons) in Computer Science,1,TRUE,Wellington,2017-03-07 09:58:57 +1300
CV (part 1),Career Bootcamp,Wellington,a57f1c0a54caf09d1682d99143d5a127,available,late_withdrawal,FALSE,graduated,Victoria University of Wellington,BSc(Hons) in Computer Science,1,TRUE,Wellington,2017-03-07 09:59:39 +1300
CV (part 1),Career Bootcamp,Wellington,cf4abc93a1fcb1976b8869cd9c2d1c0f,preparing,registered,FALSE,studying,Victoria University of Wellington,"BSc in Computer Science, Minor in Electronics",3,TRUE,Wellington,2017-03-07 13:33:07 +1300
CV (Part 2),Career Bootcamp,Wellington,cf4abc93a1fcb1976b8869cd9c2d1c0f,preparing,registered,FALSE,studying,Victoria University of Wellington,"BSc in Computer Science, Minor in Electronics",3,TRUE,Wellington,2017-03-07 13:33:27 +1300
